Noun,Replacement,Immediate Noun
දදය,තුවාලය,ඇගේ
දදය,තුවාලය,ඇග
දදය,තුවාලය,කකුලේ
දදය,තුවාලය,කකුල
දදය,තුවාලය,අත
දදය,තුවාලය,අතේ
දදය,තුවාලය,මුහුණේ
දදය,තුවාලය,ඇගිල්ලේ
දදය,තුවාලය,ඇගිලිවල
දදය,තුවාලය,ඇගිල්ල
දදය,තුවාලය,තුවාලය
දදය,තුවාලය,සිරුර
දදය,තුවාලය,නහයේ
දදය,තුවාලය,ශරීරයේ
දදය,තුවාලය,ශරීරය
දදය,තුවාලය,සිරුරේ
දදය,තුවාලය,කනේ
දදය,තුවාලය,කන
දදය,තුවාලය,බාහුවේ
දදය,තුවාලය,කකුල්වල
දදය,තුවාලය,කකුලේ
දදය,තුවාලය,බඩේ
දදය,තුවාලය,බඩවල්වල
දදය,තුවාලය,බඩ
දදය,තුවාලය,පපුවේ
දදය,තුවාලය,පපුව
දදය,තුවාලය,පයේ
දදය,තුවාලය,පය
දදය,තුවාලය,දෑතේ
දදය,තුවාලය,දෙපයේ
දදය,තුවාලය,දෙපය
දදය,තුවාලය,වැලමිටේ
දදය,තුවාලය,වැලමිට
දදය,තුවාලය,සැරව
දදය,තුවාලය,බෙහෙත්
දදය,තුවාලය,දොස්තර
දදය,කොඩිය,බෞද්ධ
දදය,කොඩිය,ජාතික
දදය,කොඩිය,ශ්‍රී ලංකා
දදය,කොඩිය,සිංහ
දදය,කොඩිය,ආගමික
දදය,කොඩිය,පාසලේ
දදය,කොඩිය,පාසල්
දදය,කොඩිය,විදුහලේ
දදය,කොඩිය,විදුහල
දදය,කොඩිය,පාසල
දදය,කොඩිය,රට
දදය,කොඩිය,රටවල්වල
දදය,කොඩිය,රටේ
දදය,කොඩිය,ඉන්දියාවේ
දදය,කොඩිය,ජාතිය
දදය,කොඩිය,ආගම
දදය,කොඩිය,ඇමෙරිකන්
දදය,කොඩිය,උත්සවයේ
දදය,කොඩිය,උත්සවවල
දදය,කොඩිය,උත්සව
දදය,කොඩිය,සන්ගමේ
